lambda,hst.ACS_update_sep07.wfc_f435w_t81.dat,hst.ACS_update_sep07.wfc_f475w_t81.dat,hst.ACS_update_sep07.wfc_f606w_t81.dat,hst.ACS_update_sep07.wfc_f775w_t81.dat,hst.ACS_update_sep07.wfc_f814w_t81.dat,F090W_JWST,hst.wfc3.IR.f105w.dat,F115W_JWST,hst.wfc3.IR.f125w.dat,hst.wfc3.IR.f140w.dat,F150W_JWST,hst.wfc3.IR.f160w.dat,F200W_JWST,F277W_JWST,F356W_JWST,F410M_JWST,F444W_JWST
23550,,,,,,4.70548943436616e-06,,2.87959053075439e-06,,,1.59049546452127e-06,,3.33646573314034e-06,0.000888751768471958,2.79606851405832e-06,6.33879723266717e-07,3.82416503761066e-05
23560,,,,,,5.09244473634165e-06,,2.47061197982478e-06,,,1.28785031598132e-06,,3.28133261216213e-06,0.00103246153709183,2.83619659805886e-06,6.69945041684776e-07,3.87215485808475e-05
23570,,,,,,4.8255491793575e-06,,2.32535211888241e-06,,,1.88456951420857e-06,,3.20430888661908e-06,0.00120059106880312,2.88674526011706e-06,7.02424060717319e-07,3.93214928187027e-05
23580,,,,,,5.05817823343e-06,,2.34733856441923e-06,,,1.46158824081695e-06,,3.02810714614309e-06,0.00139518284128306,2.94397695152728e-06,6.7377158177642e-07,3.99570585942763e-05
23590,,,,,,5.28498044558133e-06,,2.70971985540764e-06,,,1.37048113271198e-06,,2.90493710448466e-06,0.00161938097458802,3.00042437811147e-06,5.92454278811357e-07,4.06233123470408e-05
23600,,,,,,4.87987778276402e-06,,2.89740919939916e-06,,,1.55015614014702e-06,,2.77466428838888e-06,0.00187719371018377,3.05596998251104e-06,5.57114109017642e-07,4.14186165667992e-05
23610,,,,,,4.64243158389368e-06,,2.51117457278829e-06,,,1.29352120167051e-06,,2.60499517202766e-06,0.00217592115955576,3.06565296439117e-06,5.36373831303765e-07,4.22289084852829e-05
23620,,,,,,4.48489774383804e-06,,2.37837305909605e-06,,,1.13616036990358e-06,,2.42272051700478e-06,0.00251556846881491,2.97833192148102e-06,5.39093897434281e-07,4.30500744500959e-05
23630,,,,,,4.2393210048339e-06,,1.86992518966354e-06,,,1.2675170709874e-06,,2.26950308385784e-06,0.00289470651491726,2.88011410243524e-06,5.48394848928734e-07,4.39009558214367e-05
23640,,,,,,4.13793167620782e-06,,1.68826435645179e-06,,,1.15883884103332e-06,,2.19303846737243e-06,0.00331310458394573,2.73119246179087e-06,5.6073901321428e-07,4.47590647138903e-05
23650,,,,,,3.76913244584289e-06,,1.43195332832044e-06,,,1.01879795382062e-06,,2.01811967035214e-06,0.0037692407693591,2.58457545129959e-06,5.76441336094415e-07,4.557671554058e-05
23660,,,,,,3.36534603632008e-06,,1.44343262499619e-06,,,8.54506106908658e-07,,1.77400282070632e-06,0.00426102441515557,2.50597695703368e-06,5.99190336070494e-07,4.63582148880307e-05
23670,,,,,,3.20496869495079e-06,,1.31871144412448e-06,,,7.21240612672167e-07,,1.61968808198974e-06,0.0047912643276356,2.42737846276774e-06,6.29078476300014e-07,4.71030883936647e-05
23680,,,,,,3.05508692129745e-06,,1.15295234151969e-06,,,6.97683210865831e-07,,1.40371474081813e-06,0.00535562793616671,2.41711538304157e-06,7.00918573493638e-07,4.77647540815655e-05
23690,,,,,,2.83756470176565e-06,,9.46064001581831e-07,,,5.10332263309441e-07,,1.14246277587132e-06,0.0059482828372296,2.41541498300604e-06,7.80184398181257e-07,4.83703750522753e-05
23700,,,,,,2.51520013324721e-06,,8.3143433248241e-07,,,4.90542705210023e-07,,9.44186838411867e-07,0.00656316494496236,2.38057708875474e-06,8.65012252756346e-07,4.88590148417683e-05
23710,,,,,,2.19257872540253e-06,,9.08559664448427e-07,,,4.5467917992156e-07,,8.12436089982007e-07,0.00719716738361937,2.33436851275789e-06,8.31472962169995e-07,4.9228000709018e-05
23720,,,,,,1.94769958538864e-06,,8.23178519614418e-07,,,4.12595318477372e-07,,7.20939838925755e-07,0.00785083402211742,2.28682301200315e-06,7.41359684535435e-07,4.95277278156236e-05
23730,,,,,,1.71944804190941e-06,,7.02005302848386e-07,,,3.37670775986169e-07,,6.23490587286559e-07,0.00852501946050656,2.23838772739358e-06,6.66924055735726e-07,4.96678756079311e-05
23740,,,,,,1.44655177203151e-06,,4.78924677927667e-07,,,2.44467447467587e-07,,5.37038546146449e-07,0.0092136625037905,2.23247475397837e-06,5.95263041957731e-07,4.96864811803769e-05
23750,,,,,,1.45244153291249e-06,,3.77701246560287e-07,,,2.82836958227159e-07,,5.01348581151738e-07,0.00989285839343361,2.27723272351338e-06,5.26908347980361e-07,4.95602531650971e-05
23760,,,,,,1.59088299109435e-06,,3.70571973995395e-07,,,2.53876177280547e-07,,4.6624634687875e-07,0.0105939367015039,2.34599649913126e-06,5.09048711720036e-07,4.93260475872975e-05
23770,,,,,,1.51756508895983e-06,,3.90025348178734e-07,,,2.25883830831466e-07,,4.24485228018817e-07,0.0113414405621541,2.46765696413459e-06,5.09965214434441e-07,4.90644839036754e-05
23780,,,,,,1.48855844422845e-06,,4.55500079703009e-07,,,2.3648658547714e-07,,3.97041624712371e-07,0.0121410068302374,2.60053329451772e-06,5.41703611512089e-07,4.877749904184e-05
23790,,,,,,1.50515917271309e-06,,4.89941310285302e-07,,,2.4636802352958e-07,,3.96207359554535e-07,0.0130114836116647,2.78894056008702e-06,6.15168713367629e-07,4.84946262764168e-05
23800,,,,,,1.53276173958965e-06,,4.4809255281126e-07,,,2.25183773067607e-07,,3.73455310529828e-07,0.0139727965220464,2.97823507861393e-06,7.13819661790601e-07,4.82153348619592e-05
23810,,,,,,1.47490666300564e-06,,3.48471054719235e-07,,,1.55778261566267e-07,,3.30482904770083e-07,0.0150323444112427,3.20374571714421e-06,8.48790966410437e-07,4.79844954211494e-05
23820,,,,,,1.37421218487591e-06,,2.60695725648053e-07,,,1.85658440320648e-07,,2.86246784429989e-07,0.0161988536274156,3.42925635567433e-06,9.44896199108227e-07,4.77529834934599e-05
23830,,,,,,1.3082572857423e-06,,2.92692121128098e-07,,,1.70909884913567e-07,,2.54497976757225e-07,0.01748751496471,3.58457451944095e-06,9.86399227902754e-07,4.7520526801766e-05
23840,,,,,,1.23907477467343e-06,,3.04372117713265e-07,,,1.40082345046164e-07,,2.33881309873271e-07,0.0189212089239389,3.73030203361142e-06,8.72385316535535e-07,4.73130079588981e-05
23850,,,,,,1.2052973363818e-06,,2.94943959432303e-07,,,1.43818826828459e-07,,2.27373930487049e-07,0.0205449939208433,3.8022527995339e-06,7.40879291865497e-07,4.71178429798154e-05
23860,,,,,,1.15710889679276e-06,,2.54170577714066e-07,,,1.38199990656887e-07,,2.21245841636344e-07,0.0223967017359674,3.8476949291994e-06,6.87658238655949e-07,4.69484069192606e-05
23870,,,,,,1.12628621983379e-06,,2.54244641697466e-07,,,1.03167356577287e-07,,2.09634631123562e-07,0.0244987140439932,3.86247670799603e-06,5.68052104690632e-07,4.68084235928985e-05
23880,,,,,,1.10356008524755e-06,,2.33331353328461e-07,,,9.17864640149965e-08,,1.93641074748399e-07,0.0268818487710034,3.85608795575401e-06,4.02608027818073e-07,4.66887769556393e-05
23890,,,,,,1.04778526539338e-06,,1.95367171302851e-07,,,1.03083623020832e-07,,1.76685577430399e-07,0.0295761841656371,3.88497935115757e-06,3.16321595056814e-07,4.65562783692744e-05
23900,,,,,,1.00081070485168e-06,,1.55067325360976e-07,,,8.62487118932497e-08,,1.60154255682925e-07,0.0326159393166606,3.9574424854872e-06,2.51222566036553e-07,4.64325227952833e-05
23910,,,,,,9.64660703454408e-07,,1.15040537685914e-07,,,9.64486287097794e-08,,1.45357067648805e-07,0.0361283935918988,4.03434680150482e-06,2.19165183121569e-07,4.63236762444629e-05
23920,,,,,,9.36325741039812e-07,,9.41903196235659e-08,,,1.10053176402276e-07,,1.35294331062147e-07,0.0401565937146592,4.12145280325278e-06,2.13902294880167e-07,4.62349339434758e-05
23930,,,,,,9.08813700448585e-07,,8.8434268783226e-08,,,7.71093893886688e-08,,1.27082916455539e-07,0.0447068421997149,4.19344725290334e-06,2.28217415806319e-07,4.61586727979608e-05
23940,,,,,,8.69139439785376e-07,,1.01830150744263e-07,,,7.75566857127253e-08,,1.23489333926848e-07,0.0498392476919214,4.18561832584575e-06,3.03017994432244e-07,4.61161288947252e-05
23950,,,,,,8.14147848327488e-07,,9.56006775134438e-08,,,6.33904476907834e-08,,1.15659634887304e-07,0.0555881141261693,4.17892808888777e-06,4.45909323352745e-07,4.60896721539574e-05
23960,,,,,,7.50665642628446e-07,,8.57283363694714e-08,,,5.85838845368604e-08,,1.02906392401034e-07,0.0619547590881258,4.24673450554465e-06,6.4426729645899e-07,4.60763199965979e-05
23970,,,,,,7.40402032271925e-07,,9.51000428384629e-08,,,5.0068764238808e-08,,8.94473609790874e-08,0.0690588291073144,4.31454092220156e-06,7.10680333768251e-07,4.60692290059155e-05
23980,,,,,,7.23722416278417e-07,,9.98922874198654e-08,,,4.12422509162898e-08,,7.90935359472749e-08,0.0768469013769196,4.45673899390158e-06,8.22791414022298e-07,4.60703765728438e-05
23990,,,,,,6.66056232765558e-07,,9.55920071993977e-08,,,4.06434797331944e-08,,7.20982103571879e-08,0.0852049832246775,4.60996145868519e-06,1.04149706040744e-06,4.60871338047048e-05
24000,,,,,,6.26269777850584e-07,,7.64053522045257e-08,,,4.50449773340384e-08,,6.48244968603458e-08,0.0940514742724328,4.70749138958547e-06,1.48127829251533e-06,4.61001337284342e-05
24010,,,,,,5.96420840802789e-07,,6.43942507716639e-08,,,3.90128165733117e-08,,5.93771351459634e-08,0.103282647455368,4.78408786699509e-06,1.96998755886215e-06,4.61097079068381e-05
24020,,,,,,5.56317196131674e-07,,5.3572377382991e-08,,,3.10323599672727e-08,,5.61447020036832e-08,0.11277545365235,4.78093346720376e-06,2.20505050559665e-06,4.61043354805679e-05
24030,,,,,,5.23232146879407e-07,,4.77154860311611e-08,,,2.93631628278283e-08,,5.01782294355601e-08,0.122369241713861,4.72066250600415e-06,2.47684899998843e-06,4.60897474936028e-05
24040,,,,,,4.74559415930517e-07,,4.51296662906166e-08,,,2.27549771079892e-08,,4.26350709581534e-08,0.131828858975559,4.64342554184397e-06,2.78385412682586e-06,4.60663274929928e-05
24050,,,,,,4.43614460146373e-07,,4.14266155050393e-08,,,2.14256608914842e-08,,3.58838562371274e-08,0.140994607863535,4.54446931629223e-06,2.35679429739246e-06,4.59965387321426e-05
24060,,,,,,4.21322568497457e-07,,3.62243010792853e-08,,,2.0885465547172e-08,,3.13209643710406e-08,0.149730916216306,4.46431924353568e-06,1.8464560479161e-06,4.59051866212291e-05
24070,,,,,,3.82544774353414e-07,,3.04024092661595e-08,,,1.94000713541165e-08,,2.88033499147608e-08,0.157924229485901,4.42923350111862e-06,1.32651925387581e-06,4.57741623152011e-05
24080,,,,,,3.43872710173134e-07,,2.88191864282355e-08,,,1.47115931813328e-08,,2.59001233975515e-08,0.165487869629842,4.39459106029402e-06,9.84081717265041e-07,4.56084388290194e-05
24090,,,,,,3.23794333658506e-07,,2.91519747768796e-08,,,1.3677835982742e-08,,2.28319961260521e-08,0.172252791457257,4.36245437051444e-06,7.15422271427623e-07,4.54268484472229e-05
24100,,,,,,2.92283038869618e-07,,2.53829954816183e-08,,,1.14193723014003e-08,,2.16951973705563e-08,0.178295221256596,4.3300154094746e-06,3.60357852765293e-07,4.52451405841349e-05
24110,,,,,,2.64149771529373e-07,,1.87638159261677e-08,,,8.9454418828356e-09,,1.92254145771966e-08,0.18373244714755,4.24910168882692e-06,1.61043037881538e-07,4.50634623881325e-05
24120,,,,,,2.42188986314167e-07,,1.32549118065202e-08,,,8.63382571804377e-09,,1.53272476352639e-08,0.188647936002698,4.16818796817923e-06,1.37243754891893e-07,4.48818176242171e-05
24130,,,,,,2.15636248093993e-07,,1.18185276920854e-08,,,7.87286592024861e-09,,1.27839144579332e-08,0.193146003064015,4.08404042332642e-06,1.8847749436752e-07,4.47188184970531e-05
24140,,,,,,1.9164753119554e-07,,1.14288462188964e-08,,,7.25508580091541e-09,,1.10684490669375e-08,0.197349354690731,3.99937548850794e-06,2.42919138937536e-07,4.45711784054724e-05
24150,,,,,,1.73595212977328e-07,,1.1790607578042e-08,,,5.28197010119219e-09,,9.92364502763728e-09,0.201399002329521,3.89416153114541e-06,2.71521851959979e-07,4.44598897653206e-05
24160,,,,,,1.55828968008461e-07,,1.07995691373369e-08,,,5.4881412529977e-09,,8.93594821596571e-09,0.205493236640678,3.78087487433989e-06,3.05083102213205e-07,4.43795481893665e-05
24170,,,,,,1.39665151072867e-07,,9.90102635504964e-09,,,4.86914745053561e-09,,7.45711073645368e-09,0.20975061939801,3.65336318659431e-06,3.40873915167683e-07,4.43183953265109e-05
24180,,,,,,1.26292065142357e-07,,8.50902453605366e-09,,,4.20022240038972e-09,,6.37830636938662e-09,0.214259399720355,3.51528686084563e-06,3.6421785710158e-07,4.43138037247332e-05
24190,,,,,,1.14205549945677e-07,,7.26901097492889e-09,,,4.45854995336063e-09,,5.84256933944297e-09,0.219085081413587,3.42291172065302e-06,3.62950194938886e-07,4.43297160857876e-05
24200,,,,,,1.01807093817229e-07,,6.46993631230479e-09,,,3.34896637460048e-09,,5.28211442517975e-09,0.224271158715089,3.39118969110171e-06,3.29018821142316e-07,4.43728406320646e-05
24210,,,,,,9.12864236460765e-08,,5.68467834910495e-09,,,2.88993224030443e-09,,4.60727024106485e-09,0.229935851677322,3.37160034530515e-06,3.43385370769476e-07,4.4476752493989e-05
24220,,,,,,8.22697343603317e-08,,5.56392531209536e-09,,,2.66273940725426e-09,,4.16097186372419e-09,0.236071176683621,3.38236208149257e-06,3.88060974549112e-07,4.45854672568288e-05
24230,,,,,,7.37060502448764e-08,,5.79140024026231e-09,,,2.574174962483e-09,,3.93407500832072e-09,0.242331729347655,3.38083584144727e-06,5.05750788783072e-07,4.46632606275408e-05
24240,,,,,,6.61808240195634e-08,,5.10390652461803e-09,,,1.64114952905018e-09,,3.53617605768762e-09,0.248653387999106,3.30473281467721e-06,5.46397847224555e-07,4.47171663830473e-05
24250,,,,,,5.96841411584849e-08,,4.18427187947026e-09,,,1.67457848268845e-09,,2.99386811797493e-09,0.254993192324505,3.22862978790711e-06,5.36834917888256e-07,4.47555042002685e-05
24260,,,,,,5.43708875643758e-08,,2.86343922500105e-09,,,1.54203787073346e-09,,2.70615423124071e-09,0.261235055952841,3.11644574865571e-06,7.61548169678262e-07,4.47559770812074e-05
24270,,,,,,4.98267347607715e-08,,2.70774540960669e-09,,,1.43132306057786e-09,,2.44558035879354e-09,0.267190588352814,3.0041654416616e-06,9.56461283444104e-07,4.47323232112313e-05
24280,,,,,,4.55431828029541e-08,,2.52998627659905e-09,,,1.28443939529615e-09,,2.09186790586899e-09,0.272754112324513,3.04615581434685e-06,1.10363533064925e-06,4.46709714715324e-05
24290,,,,,,4.09351445472404e-08,,2.55795776670301e-09,,,1.21265372203014e-09,,1.83591371231244e-09,0.277874889259197,3.114686321589e-06,1.06463556005603e-06,4.45616722418005e-05
24300,,,,,,3.75031709210011e-08,,2.07535080280709e-09,,,1.08575268692302e-09,,1.64527439646007e-09,0.282519565273932,3.34299709830701e-06,9.87003077224923e-07,4.44317858560874e-05
24310,,,,,,3.49114564139252e-08,,2.18736596693644e-09,,,9.76138342508358e-10,,1.57723422020831e-09,0.286675381417225,3.63685777260167e-06,9.73996028672864e-07,4.42677140356886e-05
24320,,,,,,3.14211287459956e-08,,2.16999121602661e-09,,,8.40279262788175e-10,,1.50080340059127e-09,0.29034459599847,3.86583042078849e-06,9.07032577038978e-07,4.41131039941255e-05
24330,,,,,,2.90230831390302e-08,,2.13486829653337e-09,,,7.99155524450205e-10,,1.38093433031567e-09,0.293478022013018,4.0448391361192e-06,7.98522568013174e-07,4.39657795445399e-05
24340,,,,,,2.67994930116803e-08,,1.81823862050781e-09,,,8.59905442389159e-10,,1.26181599861775e-09,0.296224867577011,4.17700152605271e-06,8.42946036938403e-07,4.38344256946156e-05
24350,,,,,,2.45357849264222e-08,,1.44030651862765e-09,,,6.37588926458246e-10,,1.16887590646806e-09,0.298686909323587,4.24469611990205e-06,9.12973761933826e-07,4.37166021068956e-05
24360,,,,,,2.24282866380605e-08,,1.32559682062782e-09,,,5.21386953277386e-10,,1.04053898018901e-09,0.300941118902506,4.30364691781393e-06,1.01793907660218e-06,4.36226968504305e-05
24370,,,,,,2.05719222536576e-08,,1.05495020471606e-09,,,6.18862914009308e-10,,8.71163746686031e-10,0.303063145801865,4.33974420625124e-06,9.39642257525409e-07,4.35683962462994e-05
24380,,,,,,1.9071176406136e-08,,9.12334608355605e-10,,,4.78562440086752e-10,,7.6715213081739e-10,0.305125563272617,4.37100895825203e-06,8.11690457913906e-07,4.35352534124056e-05
24390,,,,,,1.73260663050255e-08,,7.37088825263139e-10,,,4.68909030033353e-10,,7.04710700822176e-10,0.307214115009872,4.37066260335906e-06,7.78600990333428e-07,4.35498152887236e-05
24400,,,,,,1.58653462798618e-08,,7.25145911312193e-10,,,4.37291857225641e-10,,6.53004162276272e-10,0.309396973225428,4.37031624846608e-06,7.55438581795808e-07,4.35982797457114e-05
24410,,,,,,1.45388083152318e-08,,8.04589770406263e-10,,,2.8290547425788e-10,,5.94171837251919e-10,0.311711048483238,4.30439501248242e-06,7.41275426614607e-07,4.36774781704902e-05
24420,,,,,,1.32507026080947e-08,,7.43990569518117e-10,,,3.00220928649472e-10,,5.20471521290325e-10,0.314185285290256,4.23770961709125e-06,7.46273056419021e-07,4.38147823848192e-05
24430,,,,,,1.20337236616371e-08,,7.10693590550899e-10,,,2.60565423424293e-10,,4.58650611586241e-10,0.316841876602808,4.06848072638972e-06,7.69653519560077e-07,4.39763676844691e-05
24440,,,,,,1.08679291838568e-08,,5.78476736919456e-10,,,2.55816589347373e-10,,4.11970351844918e-10,0.319697614003415,3.88034981226081e-06,8.30352103466437e-07,4.41805346167403e-05
24450,,,,,,9.92186934174447e-09,,5.4229585965997e-10,,,1.7532818618735e-10,,3.7291483032196e-10,0.322804375315112,3.73420923449347e-06,9.99581617099519e-07,4.4387660948444e-05
24460,,,,,,8.91242991620976e-09,,4.51299716270249e-10,,,2.42702420560909e-10,,3.32337971854266e-10,0.326124071475327,3.6060443837027e-06,1.17824274889398e-06,4.45927628650615e-05
24470,,,,,,8.13861295453495e-09,,4.38693870664332e-10,,,2.14079597886843e-10,,2.92868110059695e-10,0.329521919965782,3.50994701284836e-06,9.92062432917025e-07,4.47654365006788e-05
24480,,,,,,7.28649308320136e-09,,3.9365685801886e-10,,,1.98303918209387e-10,,2.65601404829475e-10,0.333045780660765,3.4394457662827e-06,8.5347480933522e-07,4.49280939596283e-05
24490,,,,,,6.49476566702112e-09,,3.56109154311715e-10,,,1.29725976833075e-10,,2.40284466386958e-10,0.336738897992083,3.38606817112977e-06,7.65616142100099e-07,4.5080075195751e-05
24500,,,,,,5.98355929595036e-09,,2.8028252815388e-10,,,1.54955922552699e-10,,2.21212522761861e-10,0.340535632022707,3.35713019409182e-06,6.65295984390387e-07,4.51961701373791e-05
24510,,,,,,5.61660214611929e-09,,2.28142661345992e-10,,,1.01444469122233e-10,,2.0494946037857e-10,0.344397348987237,3.37184214343761e-06,5.73658101620275e-07,4.52943388224818e-05
24520,,,,,,5.22291934535716e-09,,2.42626410374302e-10,,,1.07957358808258e-10,,1.70073088660981e-10,0.348305597650699,3.50585728653239e-06,5.10573442848055e-07,4.5357400903208e-05
24530,,,,,,4.74702339808264e-09,,2.54015900111066e-10,,,1.23739956445323e-10,,1.59240782054711e-10,0.352219883159427,3.65188600975693e-06,4.94352762348323e-07,4.53882179176533e-05
24540,,,,,,4.30850668476913e-09,,2.53731567666446e-10,,,9.4008282608889e-11,,1.65018055429519e-10,0.356101926736856,3.88298451080349e-06,5.0465150754278e-07,4.54008992352354e-05
24550,,,,,,3.99612567981567e-09,,2.2815100384958e-10,,,8.28769771638314e-11,,1.46957371280723e-10,0.359914400907616,4.11408301185005e-06,5.58128852003433e-07,4.53859109693708e-05
24560,,,,,,3.67494253714473e-09,,1.95721616940503e-10,,,6.87324233270145e-11,,1.27143704251157e-10,0.363622587465792,4.32617551575899e-06,6.50087037229028e-07,4.5363709796072e-05
24570,,,,,,3.34326166604819e-09,,1.59277849085231e-10,,,6.60935038149973e-11,,1.19805167378987e-10,0.367155925167514,4.53787265879439e-06,7.90312656602087e-07,4.53324613013616e-05
24580,,,,,,3.12944505674199e-09,,1.38318286515831e-10,,,6.63577737649512e-11,,1.08996494376587e-10,0.370502515486366,4.69382827928575e-06,1.22028964417231e-06,4.52973271481616e-05
24590,,,,,,2.87664038445896e-09,,1.19370772234327e-10,,,6.62570327960126e-11,,9.16936361978833e-11,0.373646532052298,4.83880905781589e-06,1.73761142769091e-06,4.52649413571142e-05
24600,,,,,,2.63976123327157e-09,,1.18994223812055e-10,,,5.74773744542736e-11,,8.15268371001177e-11,0.376557950940172,5.02950273976556e-06,2.35786100380319e-06,4.52444919372795e-05
24610,,,,,,2.44912356882419e-09,,8.48530316880074e-11,,,4.3721658305011e-11,,7.81501664928967e-11,0.379215930286664,5.24060215316425e-06,2.50797547289568e-06,4.52319508992793e-05
24620,,,,,,2.25270397943785e-09,,8.18478245989565e-11,,,4.85190957947075e-11,,7.28694021907139e-11,0.381622365622872,5.4857127402452e-06,2.36949346450416e-06,4.52245819267603e-05
24630,,,,,,2.08144223397992e-09,,7.85498919746612e-11,,,4.86194025599575e-11,,6.96089290452717e-11,0.383737126866865,5.75896082963975e-06,2.26522103106926e-06,4.52446020719316e-05
24640,,,,,,1.92294022503023e-09,,8.07736598378182e-11,,,2.85527612444147e-11,,6.11500203137597e-11,0.385618837695152,5.91895681879443e-06,2.11196685985299e-06,4.52865878455745e-05
24650,,,,,,1.8004682653821e-09,,7.63309702019635e-11,,,2.94521648063722e-11,,5.14777272629012e-11,0.387283611704845,5.91127434390735e-06,1.88619145026793e-06,4.53610954253122e-05
24660,,,,,,1.68401078544826e-09,,6.65716470351201e-11,,,3.25402810731087e-11,,4.61917266164868e-11,0.388744120106081,5.86066608414993e-06,1.72103109550506e-06,4.54839210027275e-05
24670,,,,,,1.56444200987595e-09,,5.89796408493096e-11,,,2.60118818850008e-11,,4.25729741981111e-11,0.390014981362275,5.68725274712975e-06,1.59853408948458e-06,4.56279567010783e-05
24680,,,,,,1.46574964729733e-09,,5.00917171264855e-11,,,2.56411892703827e-11,,3.85168991669207e-11,0.391113688967053,5.51352190386431e-06,1.59362269854325e-06,4.58100634756967e-05
24690,,,,,,1.35976976427702e-09,,4.75373482412079e-11,,,2.19159896944498e-11,,3.50956831808705e-11,0.392115202576096,5.33734492739652e-06,1.60277571673272e-06,4.60192867035364e-05
24700,,,,,,1.25554719993645e-09,,4.48184471182804e-11,,,1.77736042848667e-11,,3.07405313796285e-11,0.392953561419106,5.16116795092867e-06,1.62216123060159e-06,4.62482383812417e-05
24710,,,,,,1.18072125435925e-09,,3.67951297639208e-11,,,1.66428163628954e-11,,2.74850076974683e-11,0.393704167199542,5.07262636301551e-06,1.65336285936309e-06,4.653272257107e-05
24720,,,,,,1.11069080296689e-09,,3.3119581953591e-11,,,1.44805166392744e-11,,2.60749836290242e-11,0.394386325903904,4.9867240450173e-06,1.71113258848879e-06,4.68407353558569e-05
24730,,,,,,1.03507061335349e-09,,3.45422399718181e-11,,,1.09856969220858e-11,,2.48221586685129e-11,0.395067511916139,4.8900017500471e-06,1.81496541269784e-06,4.71871562253991e-05
24740,,,,,,9.7547870283538e-10,,3.53307245295292e-11,,,1.34292206024514e-11,,2.18916221573223e-11,0.39593632768232,4.79101035966686e-06,1.94939414742931e-06,4.75809646185036e-05
24750,,,,,,9.16085059104908e-10,,3.19680202972703e-11,,,1.10986349889925e-11,,1.8950904048442e-11,0.396442363928042,4.63266010708195e-06,2.10753728381488e-06,4.7992978748785e-05
24760,,,,,,8.63399909039608e-10,,2.60814967775534e-11,,,9.78316078030577e-12,,1.68163464453043e-11,0.396859569248713,4.44669844597706e-06,2.34587267284627e-06,4.84212685819648e-05
24770,,,,,,8.21125830380945e-10,,2.28471553498022e-11,,,9.73995262924505e-12,,1.47968900357682e-11,0.397245966240181,4.31744262707448e-06,2.62966997311212e-06,4.88672566195991e-05
24780,,,,,,7.77063461919561e-10,,2.08275107993436e-11,,,6.37731787023291e-12,,1.29632951849756e-11,0.397620962522771,4.23680463516903e-06,2.95244490336322e-06,4.93284185477697e-05
24790,,,,,,7.38270728022259e-10,,1.84657845709875e-11,,,5.47961553631815e-12,,1.17136182847101e-11,0.397990655586022,4.16405136416466e-06,2.99166947317264e-06,4.97599319681705e-05
24800,,,,,,7.01867316353109e-10,,1.72641322682777e-11,,,6.20151895228753e-12,,1.10138262334694e-11,0.398367107348416,4.10341144695102e-06,3.00252559556545e-06,5.01675789469995e-05
24810,,,,,,6.71297054821632e-10,,1.62007936584313e-11,,,6.6054737366596e-12,,1.02620636394096e-11,0.398539703792256,4.04069500394913e-06,2.99839273057481e-06,5.05296941286253e-05
24820,,,,,,6.42202749895417e-10,,1.75632304095266e-11,,,5.51765608383695e-12,,9.18899954299824e-12,0.398579637203951,3.97175399744044e-06,3.01603148706518e-06,5.08414578490323e-05
24830,,,,,,6.0852050832758e-10,,1.37996584613213e-11,,,4.76290465545856e-12,,7.72275863971997e-12,0.398754968041647,3.90306006624095e-06,3.01598067581517e-06,5.11242204302298e-05
24840,,,,,,5.80415168678013e-10,,1.08355650787078e-11,,,4.05471755407261e-12,,6.58037712950586e-12,0.398998606962409,3.83644932135088e-06,2.79329714331527e-06,5.13324133776634e-05
24850,,,,,,5.62138222606316e-10,,7.71861983302951e-12,,,3.46759332599219e-12,,5.81167400547471e-12,0.399183716982305,3.76983857646082e-06,2.5842294482094e-06,5.14874025407431e-05
24860,,,,,,5.42402491952073e-10,,8.02770966551131e-12,,,3.47545381422574e-12,,5.20254818368773e-12,0.399383307516876,3.73907226548997e-06,2.388890413897e-06,5.15887470628663e-05
24870,,,,,,5.18757727451684e-10,,8.21638497335262e-12,,,2.70011911226548e-12,,4.97801606731679e-12,0.399555683427755,3.70972548809697e-06,2.22757913235591e-06,5.16043324076927e-05
24880,,,,,,5.01552484733398e-10,,6.47011695717571e-12,,,3.14359044745299e-12,,4.73258397856804e-12,0.399658660596625,3.61155640116151e-06,2.0531222676469e-06,5.15779847622588e-05
24890,,,,,,4.89103228249017e-10,,5.37044437829264e-12,,,2.89012724470481e-12,,4.4783976114871e-12,0.399702238150621,3.49805244571217e-06,1.83441645382845e-06,5.14718041897836e-05
24900,,,,,,4.74254387358349e-10,,4.63183646381301e-12,,,2.88978997815731e-12,,4.30867564519468e-12,0.39970579928852,3.32670027105192e-06,1.69526196724762e-06,5.13008024321181e-05
24910,,,,,,4.56763784998518e-10,,5.52760385593264e-12,,,2.47045224762772e-12,,3.9289899670503e-12,0.399676327165711,3.1273249066732e-06,1.59645937166309e-06,5.10960967457676e-05
24920,,,,,,4.42443058009102e-10,,5.68400627569108e-12,,,1.91138126745768e-12,,3.57207561113706e-12,0.399585250095675,2.93988472308866e-06,1.52352465418368e-06,5.08585728640591e-05
24930,,,,,,4.29996005944781e-10,,5.38569294135684e-12,,,1.65346198297961e-12,,3.27507679114511e-12,0.399427705190315,2.76304821483399e-06,1.38850273174396e-06,0.000313177062953249
24940,,,,,,4.14987769289909e-10,,4.31406375776518e-12,,,1.65377924550233e-12,,2.8990282449916e-12,0.399215501739647,2.61594742681905e-06,1.17985145373722e-06,0.000886861318682398
24950,,,,,,4.01617108472231e-10,,4.16645726155567e-12,,,1.70555684226335e-12,,2.57546707844597e-12,0.398948450533005,2.51626319101748e-06,1.15980759982572e-06,0.000995366410570332
